graph_uid,tracking_timestamp_us,utc_timestamp_ns,tx_world_device,ty_world_device,tz_world_device,qx_world_device,qy_world_device,qz_world_device,qw_world_device,device_linear_velocity_x_device,device_linear_velocity_y_device,device_linear_velocity_z_device,angular_velocity_x_device,angular_velocity_y_device,angular_velocity_z_device,gravity_x_world,gravity_y_world,gravity_z_world,quality_score,geo_available,tx_ecef_device,ty_ecef_device,tz_ecef_device,qx_ecef_device,qy_ecef_device,qz_ecef_device,qw_ecef_device
ea7288b8-b6a0-012d-8156-257aba6bd796,149202610,1686767222002923694,0.000292,-0.006405,0.000467,0.500638545,0.496952726,-0.477400195,0.523916109,0.038913,-0.322935,0.242351,-0.054750,0.052271,-0.064212,0.000000,0.000000,-9.810000,0.5,0,0.000000,0.000000,0.000000,0.000000000,0.000000000,0.000000000,1.000000000
ea7288b8-b6a0-012d-8156-257aba6bd796,149203459,1686767222002923694,0.000030,-0.006619,0.000427,0.500623062,0.496990395,-0.477393233,0.523901516,0.039788,-0.324063,0.243213,-0.050773,0.054919,-0.068246,0.000000,0.000000,-9.810000,0.5,0,0.000000,0.000000,0.000000,0.000000000,0.000000000,0.000000000,1.000000000
ea7288b8-b6a0-012d-8156-257aba6bd796,149204459,1686767222002923694,-0.000279,-0.006871,0.000380,0.500604541,0.497035236,-0.477385443,0.523883772,0.040582,-0.324940,0.243694,-0.051423,0.058135,-0.070595,0.000000,0.000000,-9.810000,0.5,0,0.000000,0.000000,0.000000,0.000000000,0.000000000,0.000000000,1.000000000
ea7288b8-b6a0-012d-8156-257aba6bd796,149205503,1686767222002923694,-0.000602,-0.007135,0.000329,0.500584150,0.497083775,-0.477376927,0.523864963,0.041109,-0.325467,0.243774,-0.056184,0.057637,-0.073461,0.000000,0.000000,-9.810000,0.5,0,0.000000,0.000000,0.000000,0.000000000,0.000000000,0.000000000,1.000000000
ea7288b8-b6a0-012d-8156-257aba6bd796,149206457,1686767222002923694,-0.000898,-0.007376,0.000283,0.500564092,0.497129195,-0.477368398,0.523848801,0.041158,-0.325982,0.243841,-0.060428,0.057092,-0.071938,0.000000,0.000000,-9.810000,0.5,0,0.000000,0.000000,0.000000,0.000000000,0.000000000,0.000000000,1.000000000
ea7288b8-b6a0-012d-8156-257aba6bd796,149207457,1686767222002923694,-0.001208,-0.007629,0.000234,0.500542928,0.497177271,-0.477357799,0.523833056,0.041336,-0.326691,0.244095,-0.063087,0.059331,-0.069278,0.000000,0.000000,-9.810000,0.5,0,0.000000,0.000000,0.000000,0.000000000,0.000000000,0.000000000,1.000000000
ea7288b8-b6a0-012d-8156-257aba6bd796,149208456,1686767222002923694,-0.001520,-0.007882,0.000186,0.500522101,0.497225215,-0.477346240,0.523817982,0.041273,-0.327654,0.244629,-0.062856,0.058140,-0.067375,0.000000,0.000000,-9.810000,0.5,0,0.000000,0.000000,0.000000,0.000000000,0.000000000,0.000000000,1.000000000
ea7288b8-b6a0-012d-8156-257aba6bd796,149209455,1686767222002923694,-0.001832,-0.008136,0.000137,0.500502155,0.497272943,-0.477334011,0.523802878,0.041666,-0.328683,0.245280,-0.062024,0.061935,-0.065952,0.000000,0.000000,-9.810000,0.5,0,0.000000,0.000000,0.000000,0.000000000,0.000000000,0.000000000,1.000000000
ea7288b8-b6a0-012d-8156-257aba6bd796,149210500,1686767222002923694,-0.002159,-0.008403,0.000085,0.500482197,0.497322183,-0.477321572,0.523786534,0.041640,-0.330016,0.246202,-0.058122,0.058832,-0.066180,0.000000,0.000000,-9.810000,0.5,0,0.000000,0.000000,0.000000,0.000000000,0.000000000,0.000000000,1.000000000
ea7288b8-b6a0-012d-8156-257aba6bd796,149211453,1686767222002923694,-0.002459,-0.008646,0.000038,0.500464016,0.497366693,-0.477310967,0.523771307,0.042027,-0.330852,0.246596,-0.058921,0.060129,-0.067042,0.000000,0.000000,-9.810000,0.5,0,0.000000,0.000000,0.000000,0.000000000,0.000000000,0.000000000,1.000000000
ea7288b8-b6a0-012d-8156-257aba6bd796,149212453,1686767222002923694,-0.002775,-0.008902,-0.000011,0.500444199,0.497414483,-0.477299275,0.523755513,0.042388,-0.331403,0.246635,-0.063343,0.060566,-0.068453,0.000000,0.000000,-9.810000,0.5,0,0.000000,0.000000,0.000000,0.000000000,0.000000000,0.000000000,1.000000000
ea7288b8-b6a0-012d-8156-257aba6bd796,149213452,1686767222002923694,-0.003090,-0.009158,-0.000062,0.500423400,0.497464406,-0.477285932,0.523740130,0.043045,-0.331820,0.246569,-0.069202,0.065270,-0.069206,0.000000,0.000000,-9.810000,0.5,0,0.000000,0.000000,0.000000,0.000000000,0.000000000,0.000000000,1.000000000
ea7288b8-b6a0-012d-8156-257aba6bd796,149214451,1686767222002923694,-0.003406,-0.009414,-0.000113,0.500402422,0.497516446,-0.477270329,0.523724961,0.043387,-0.332466,0.246741,-0.072645,0.068714,-0.067932,0.000000,0.000000,-9.810000,0.5,0,0.000000,0.000000,0.000000,0.000000000,0.000000000,0.000000000,1.000000000
ea7288b8-b6a0-012d-8156-257aba6bd796,149215496,1686767222002923694,-0.003737,-0.009682,-0.000166,0.500380672,0.497571422,-0.477252290,0.523709953,0.043208,-0.333283,0.247062,-0.074781,0.068429,-0.064712,0.000000,0.000000,-9.810000,0.5,0,0.000000,0.000000,0.000000,0.000000000,0.000000000,0.000000000,1.000000000
ea7288b8-b6a0-012d-8156-257aba6bd796,149216450,1686767222002923694,-0.004040,-0.009927,-0.000215,0.500360793,0.497622021,-0.477235211,0.523696433,0.043816,-0.334160,0.247531,-0.075203,0.070528,-0.067348,0.000000,0.000000,-9.810000,0.5,0,0.000000,0.000000,0.000000,0.000000000,0.000000000,0.000000000,1.000000000
ea7288b8-b6a0-012d-8156-257aba6bd796,149217449,1686767222002923694,-0.004358,-0.010184,-0.000266,0.500339556,0.497676214,-0.477217448,0.523681413,0.044315,-0.335044,0.247976,-0.075934,0.071511,-0.069775,0.000000,0.000000,-9.810000,0.5,0,0.000000,0.000000,0.000000,0.000000000,0.000000000,0.000000000,1.000000000
ea7288b8-b6a0-012d-8156-257aba6bd796,149218448,1686767222002923694,-0.004678,-0.010442,-0.000319,0.500317637,0.497731403,-0.477199745,0.523666035,0.044696,-0.335827,0.248304,-0.077627,0.071877,-0.071577,0.000000,0.000000,-9.810000,0.5,0,0.000000,0.000000,0.000000,0.000000000,0.000000000,0.000000000,1.000000000
ea7288b8-b6a0-012d-8156-257aba6bd796,149219448,1686767222002923694,-0.004997,-0.010700,-0.000371,0.500295014,0.497786910,-0.477181861,0.523651184,0.044576,-0.336635,0.248600,-0.079448,0.070140,-0.070219,0.000000,0.000000,-9.810000,0.5,0,0.000000,0.000000,0.000000,0.000000000,0.000000000,0.000000000,1.000000000
ea7288b8-b6a0-012d-8156-257aba6bd796,149220492,1686767222002923694,-0.005333,-0.010970,-0.000426,0.500270652,0.497844869,-0.477163487,0.523636102,0.044912,-0.337668,0.249154,-0.079220,0.069089,-0.072706,0.000000,0.000000,-9.810000,0.5,0,0.000000,0.000000,0.000000,0.000000000,0.000000000,0.000000000,1.000000000
ea7288b8-b6a0-012d-8156-257aba6bd796,149221446,1686767222002923694,-0.005640,-0.011217,-0.000477,0.500248275,0.497899624,-0.477146466,0.523620930,0.046151,-0.338452,0.249530,-0.080888,0.077265,-0.076700,0.000000,0.000000,-9.810000,0.5,0,0.000000,0.000000,0.000000,0.000000000,0.000000000,0.000000000,1.000000000
ea7288b8-b6a0-012d-8156-257aba6bd796,149222445,1686767222002923694,-0.005962,-0.011476,-0.000531,0.500224941,0.497959521,-0.477127102,0.523603908,0.046463,-0.339123,0.249672,-0.084687,0.079886,-0.076365,0.000000,0.000000,-9.810000,0.5,0,0.000000,0.000000,0.000000,0.000000000,0.000000000,0.000000000,1.000000000
ea7288b8-b6a0-012d-8156-257aba6bd796,149223445,1686767222002923694,-0.006285,-0.011736,-0.000585,0.500201140,0.498020456,-0.477106069,0.523587857,0.046394,-0.339743,0.249744,-0.089060,0.079961,-0.074428,0.000000,0.000000,-9.810000,0.5,0,0.000000,0.000000,0.000000,0.000000000,0.000000000,0.000000000,1.000000000
ea7288b8-b6a0-012d-8156-257aba6bd796,149224444,1686767222002923694,-0.006608,-0.011996,-0.000639,0.500177281,0.498079339,-0.477084692,0.523574117,0.045055,-0.340999,0.250485,-0.086306,0.071636,-0.067080,0.000000,0.000000,-9.810000,0.5,0,0.000000,0.000000,0.000000,0.000000000,0.000000000,0.000000000,1.000000000
ea7288b8-b6a0-012d-8156-257aba6bd796,149225489,1686767222002923694,-0.006948,-0.012268,-0.000694,0.500153244,0.498137818,-0.477061978,0.523562141,0.044654,-0.341989,0.250916,-0.086867,0.071578,-0.061642,0.000000,0.000000,-9.810000,0.5,0,0.000000,0.000000,0.000000,0.000000000,0.000000000,0.000000000,1.000000000
ea7288b8-b6a0-012d-8156-257aba6bd796,149226443,1686767222002923694,-0.007259,-0.012518,-0.000744,0.500132245,0.498189821,-0.477040459,0.523552328,0.044325,-0.343066,0.251502,-0.085436,0.069803,-0.058461,0.000000,0.000000,-9.810000,0.5,0,0.000000,0.000000,0.000000,0.000000000,0.000000000,0.000000000,1.000000000
ea7288b8-b6a0-012d-8156-257aba6bd796,149227442,1686767222002923694,-0.007585,-0.012779,-0.000797,0.500109380,0.498244822,-0.477018355,0.523541971,0.045206,-0.343735,0.251678,-0.088766,0.070384,-0.065283,0.000000,0.000000,-9.810000,0.5,0,0.000000,0.000000,0.000000,0.000000000,0.000000000,0.000000000,1.000000000
ea7288b8-b6a0-012d-8156-257aba6bd796,149228441,1686767222002923694,-0.007912,-0.013041,-0.000850,0.500084001,0.498302202,-0.476997346,0.523530743,0.045967,-0.344505,0.251938,-0.091248,0.069451,-0.072304,0.000000,0.000000,-9.810000,0.5,0,0.000000,0.000000,0.000000,0.000000000,0.000000000,0.000000000,1.000000000
ea7288b8-b6a0-012d-8156-257aba6bd796,149229440,1686767222002923694,-0.008240,-0.013303,-0.000905,0.500057158,0.498361846,-0.476976118,0.523518951,0.046603,-0.345181,0.252047,-0.095414,0.073863,-0.073465,0.000000,0.000000,-9.810000,0.5,0,0.000000,0.000000,0.000000,0.000000000,0.000000000,0.000000000,1.000000000
ea7288b8-b6a0-012d-8156-257aba6bd796,149230497,1686767222002923694,-0.008588,-0.013580,-0.000963,0.500028300,0.498426757,-0.476951682,0.523506981,0.046675,-0.345883,0.252128,-0.099996,0.074955,-0.071755,0.000000,0.000000,-9.810000,0.5,0,0.000000,0.000000,0.000000,0.000000000,0.000000000,0.000000000,1.000000000
ea7288b8-b6a0-012d-8156-257aba6bd796,149231439,1686767222002923694,-0.008898,-0.013828,-0.001014,0.500001229,0.498485060,-0.476929393,0.523497632,0.046614,-0.346558,0.252234,-0.103411,0.070510,-0.073711,0.000000,0.000000,-9.810000,0.5,0,0.000000,0.000000,0.000000,0.000000000,0.000000000,0.000000000,1.000000000
ea7288b8-b6a0-012d-8156-257aba6bd796,149232438,1686767222002923694,-0.009228,-0.014090,-0.001069,0.499970062,0.498547184,-0.476906777,0.523488843,0.046718,-0.347355,0.252440,-0.105838,0.066561,-0.076820,0.000000,0.000000,-9.810000,0.5,0,0.000000,0.000000,0.000000,0.000000000,0.000000000,0.000000000,1.000000000
