tracking_timestamp_us,left_tracking_confidence,tx_left_landmark_0_device,ty_left_landmark_0_device,tz_left_landmark_0_device,tx_left_landmark_1_device,ty_left_landmark_1_device,tz_left_landmark_1_device,tx_left_landmark_2_device,ty_left_landmark_2_device,tz_left_landmark_2_device,tx_left_landmark_3_device,ty_left_landmark_3_device,tz_left_landmark_3_device,tx_left_landmark_4_device,ty_left_landmark_4_device,tz_left_landmark_4_device,tx_left_landmark_5_device,ty_left_landmark_5_device,tz_left_landmark_5_device,tx_left_landmark_6_device,ty_left_landmark_6_device,tz_left_landmark_6_device,tx_left_landmark_7_device,ty_left_landmark_7_device,tz_left_landmark_7_device,tx_left_landmark_8_device,ty_left_landmark_8_device,tz_left_landmark_8_device,tx_left_landmark_9_device,ty_left_landmark_9_device,tz_left_landmark_9_device,tx_left_landmark_10_device,ty_left_landmark_10_device,tz_left_landmark_10_device,tx_left_landmark_11_device,ty_left_landmark_11_device,tz_left_landmark_11_device,tx_left_landmark_12_device,ty_left_landmark_12_device,tz_left_landmark_12_device,tx_left_landmark_13_device,ty_left_landmark_13_device,tz_left_landmark_13_device,tx_left_landmark_14_device,ty_left_landmark_14_device,tz_left_landmark_14_device,tx_left_landmark_15_device,ty_left_landmark_15_device,tz_left_landmark_15_device,tx_left_landmark_16_device,ty_left_landmark_16_device,tz_left_landmark_16_device,tx_left_landmark_17_device,ty_left_landmark_17_device,tz_left_landmark_17_device,tx_left_landmark_18_device,ty_left_landmark_18_device,tz_left_landmark_18_device,tx_left_landmark_19_device,ty_left_landmark_19_device,tz_left_landmark_19_device,tx_left_landmark_20_device,ty_left_landmark_20_device,tz_left_landmark_20_device,right_tracking_confidence,tx_right_landmark_0_device,ty_right_landmark_0_device,tz_right_landmark_0_device,tx_right_landmark_1_device,ty_right_landmark_1_device,tz_right_landmark_1_device,tx_right_landmark_2_device,ty_right_landmark_2_device,tz_right_landmark_2_device,tx_right_landmark_3_device,ty_right_landmark_3_device,tz_right_landmark_3_device,tx_right_landmark_4_device,ty_right_landmark_4_device,tz_right_landmark_4_device,tx_right_landmark_5_device,ty_right_landmark_5_device,tz_right_landmark_5_device,tx_right_landmark_6_device,ty_right_landmark_6_device,tz_right_landmark_6_device,tx_right_landmark_7_device,ty_right_landmark_7_device,tz_right_landmark_7_device,tx_right_landmark_8_device,ty_right_landmark_8_device,tz_right_landmark_8_device,tx_right_landmark_9_device,ty_right_landmark_9_device,tz_right_landmark_9_device,tx_right_landmark_10_device,ty_right_landmark_10_device,tz_right_landmark_10_device,tx_right_landmark_11_device,ty_right_landmark_11_device,tz_right_landmark_11_device,tx_right_landmark_12_device,ty_right_landmark_12_device,tz_right_landmark_12_device,tx_right_landmark_13_device,ty_right_landmark_13_device,tz_right_landmark_13_device,tx_right_landmark_14_device,ty_right_landmark_14_device,tz_right_landmark_14_device,tx_right_landmark_15_device,ty_right_landmark_15_device,tz_right_landmark_15_device,tx_right_landmark_16_device,ty_right_landmark_16_device,tz_right_landmark_16_device,tx_right_landmark_17_device,ty_right_landmark_17_device,tz_right_landmark_17_device,tx_right_landmark_18_device,ty_right_landmark_18_device,tz_right_landmark_18_device,tx_right_landmark_19_device,ty_right_landmark_19_device,tz_right_landmark_19_device,tx_right_landmark_20_device,ty_right_landmark_20_device,tz_right_landmark_20_device
1762609162,0.999299,0.0645316,-0.248787,0.250952,0.0615602,-0.305349,0.297878,0.0704363,-0.321066,0.315898,0.0905189,-0.322742,0.318,0.123865,-0.31699,0.312444,0.187311,-0.188174,0.247045,0.111722,-0.216749,0.2387,0.0847896,-0.235306,0.247201,0.105661,-0.237838,0.273315,0.0847197,-0.266307,0.28708,0.07206,-0.286433,0.292114,0.122274,-0.247314,0.284866,0.0985023,-0.279834,0.299701,0.0836105,-0.301944,0.306656,0.141126,-0.256082,0.285382,0.119702,-0.284364,0.301563,0.104964,-0.304783,0.310048,0.161273,-0.263337,0.281053,0.146069,-0.284366,0.297495,0.136266,-0.300801,0.304304,0.129259,-0.247127,0.263049,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1762809134,0.999346,0.0675953,-0.253277,0.2504,0.0613702,-0.305674,0.296157,0.0687849,-0.320435,0.313456,0.0887869,-0.322309,0.314921,0.121801,-0.316019,0.309815,0.187604,-0.190168,0.242241,0.111934,-0.218441,0.235401,0.086562,-0.238393,0.245408,0.105779,-0.239228,0.269096,0.0848169,-0.267412,0.283404,0.072014,-0.287218,0.289277,0.122396,-0.248787,0.280574,0.0978538,-0.280721,0.295429,0.0823885,-0.302164,0.303173,0.141192,-0.257678,0.281003,0.118969,-0.28521,0.2974,0.103678,-0.305046,0.306281,0.161265,-0.265076,0.276577,0.145339,-0.284816,0.293911,0.134848,-0.30063,0.301151,0.12927,-0.248711,0.258718,0.996944,0.105845,-0.234796,0.220537,0.0489816,-0.327343,0.247648,0.0636086,-0.327687,0.274214,0.0822723,-0.333355,0.27566,0.113424,-0.337388,0.26649,0.176111,-0.302785,0.126053,0.127065,-0.255681,0.170922,0.112082,-0.241477,0.197675,0.0959196,-0.298795,0.184163,0.0724122,-0.314656,0.209349,0.059425,-0.321233,0.22881,0.107526,-0.316475,0.19137,0.0843011,-0.326907,0.225932,0.0734906,-0.326883,0.251272,0.125427,-0.324819,0.197886,0.105236,-0.333043,0.230218,0.093436,-0.334168,0.254001,0.146262,-0.329103,0.202867,0.130828,-0.337564,0.228046,0.123385,-0.338124,0.246936,0.122317,-0.298934,0.19111
1763009102,0.999152,0.068482,-0.257407,0.252356,0.0640052,-0.310064,0.298502,0.0713974,-0.324658,0.315225,0.0903741,-0.326898,0.313577,0.121818,-0.320555,0.305944,0.1878,-0.194109,0.240362,0.111472,-0.221277,0.2365,0.0867988,-0.241867,0.246953,0.107027,-0.243223,0.270144,0.0868339,-0.2717,0.284968,0.0743073,-0.29156,0.291242,0.124133,-0.253253,0.28044,0.0999871,-0.28518,0.295944,0.084661,-0.306462,0.304379,0.142834,-0.262314,0.279611,0.120631,-0.289977,0.295811,0.105279,-0.309721,0.304791,0.162568,-0.269752,0.273909,0.14613,-0.289732,0.290473,0.135212,-0.305387,0.29742,0.12983,-0.252611,0.258253,0.995311,0.10434,-0.227551,0.226253,0.0505793,-0.325611,0.252153,0.0647058,-0.327809,0.278021,0.0841765,-0.333509,0.279476,0.11488,-0.335536,0.269742,0.176417,-0.292918,0.131214,0.126279,-0.248288,0.17695,0.110796,-0.234055,0.203401,0.0963486,-0.29377,0.189624,0.0732097,-0.311489,0.213896,0.0605199,-0.319041,0.233198,0.108458,-0.311434,0.195994,0.0854133,-0.324247,0.229868,0.0745485,-0.325753,0.25514,0.126603,-0.319571,0.202083,0.106865,-0.330109,0.234021,0.0952431,-0.332833,0.257763,0.147564,-0.323504,0.206818,0.132249,-0.333943,0.231317,0.124817,-0.335425,0.250162,0.122761,-0.2935,0.196519
1763209066,0.999213,0.0697796,-0.258502,0.25865,0.0646692,-0.309067,0.305438,0.0718631,-0.323156,0.322568,0.0909165,-0.325364,0.321369,0.122293,-0.319741,0.312745,0.188947,-0.195536,0.243754,0.112532,-0.222775,0.241317,0.088122,-0.243214,0.252646,0.108014,-0.243148,0.275475,0.0877166,-0.271155,0.291035,0.0750684,-0.290795,0.29774,0.125138,-0.253191,0.285729,0.100755,-0.284445,0.302202,0.0852455,-0.30534,0.311249,0.143721,-0.262485,0.284822,0.121383,-0.289411,0.302047,0.105904,-0.308675,0.311817,0.16329,-0.270258,0.279,0.146808,-0.289628,0.29623,0.135776,-0.304963,0.303692,0.130548,-0.253022,0.263462,0.998061,0.110306,-0.225205,0.224668,0.0556284,-0.332372,0.24956,0.0658548,-0.340087,0.27282,0.0906296,-0.336592,0.278819,0.121336,-0.330893,0.269725,0.179869,-0.293413,0.128874,0.131249,-0.249198,0.176164,0.116726,-0.233797,0.202505,0.101023,-0.295867,0.18888,0.0786401,-0.314724,0.213003,0.0659401,-0.323755,0.231652,0.113728,-0.313139,0.195161,0.0905028,-0.327985,0.228069,0.0777614,-0.333406,0.251886,0.132203,-0.320729,0.200958,0.113467,-0.330668,0.233682,0.101908,-0.334427,0.257312,0.153353,-0.324054,0.205307,0.138433,-0.331372,0.231144,0.131162,-0.331724,0.250107,0.127522,-0.294813,0.195363
1763409040,0.999345,0.072387,-0.258773,0.259423,0.0685913,-0.31082,0.306085,0.0764693,-0.325373,0.322836,0.0955837,-0.327648,0.321154,0.126963,-0.321826,0.312247,0.191851,-0.19643,0.243632,0.115368,-0.223365,0.242004,0.0908949,-0.243696,0.253394,0.111541,-0.244787,0.275809,0.0914523,-0.272853,0.291532,0.0788899,-0.292519,0.29832,0.128838,-0.254863,0.285734,0.104855,-0.286406,0.302246,0.0895876,-0.307423,0.311418,0.147451,-0.264057,0.28449,0.125533,-0.291311,0.301739,0.110325,-0.310764,0.311559,0.166982,-0.271669,0.278338,0.150963,-0.291332,0.295674,0.140178,-0.306837,0.303146,0.133964,-0.254425,0.263404,0.999392,0.121872,-0.20905,0.190111,0.062296,-0.309114,0.238053,0.0754064,-0.311766,0.263751,0.0984335,-0.311149,0.269737,0.131071,-0.315829,0.263829,0.195758,-0.302713,0.121791,0.147031,-0.249119,0.156156,0.130899,-0.225565,0.174237,0.111879,-0.294058,0.173876,0.0857008,-0.307377,0.197872,0.0721384,-0.309334,0.217945,0.122888,-0.311089,0.183254,0.0968663,-0.319307,0.216391,0.0853741,-0.315453,0.24113,0.140272,-0.318869,0.19161,0.119851,-0.321423,0.224733,0.108634,-0.317331,0.248473,0.160705,-0.322726,0.198308,0.1465,-0.324407,0.225495,0.140041,-0.320758,0.244403,0.137733,-0.293623,0.182631
1763609032,0.999456,0.0715554,-0.253999,0.26123,0.0667022,-0.304893,0.309286,0.0745051,-0.319416,0.326212,0.0938159,-0.322099,0.324789,0.125329,-0.317536,0.314973,0.192243,-0.194362,0.244204,0.115149,-0.21961,0.243298,0.0902925,-0.239303,0.254972,0.11114,-0.240527,0.277589,0.0904348,-0.267802,0.293895,0.0774164,-0.287013,0.301115,0.128283,-0.250817,0.28756,0.103675,-0.281485,0.304784,0.0879795,-0.301958,0.314452,0.146691,-0.26042,0.286343,0.124361,-0.286824,0.304368,0.108834,-0.305727,0.314747,0.166018,-0.268534,0.280188,0.149769,-0.287681,0.297883,0.138767,-0.302888,0.305645,0.133274,-0.250831,0.265197,0.999658,0.154046,-0.213845,0.182398,0.0893656,-0.306321,0.219218,0.099349,-0.312905,0.244927,0.123543,-0.310173,0.25376,0.157399,-0.314388,0.251548,0.234002,-0.303994,0.115689,0.182117,-0.251644,0.148033,0.16449,-0.22963,0.166652,0.145399,-0.296098,0.159401,0.116672,-0.307259,0.181506,0.101259,-0.307615,0.200294,0.155706,-0.312855,0.169993,0.126408,-0.32023,0.200489,0.112131,-0.316233,0.223709,0.172319,-0.320274,0.180067,0.148936,-0.321875,0.211234,0.135651,-0.316966,0.233719,0.19207,-0.32374,0.188736,0.175886,-0.324009,0.214846,0.167962,-0.319702,0.233046,0.170315,-0.295204,0.170564
1763808970,0.999569,0.0728032,-0.254386,0.262158,0.0679302,-0.304798,0.3106,0.0757818,-0.319059,0.327864,0.0953986,-0.321509,0.327168,0.127064,-0.317054,0.317242,0.193283,-0.194261,0.245117,0.116331,-0.21997,0.244118,0.091504,-0.239664,0.255854,0.112287,-0.240516,0.278636,0.0916025,-0.267713,0.295097,0.0786201,-0.286921,0.302389,0.129445,-0.250626,0.288768,0.104882,-0.281253,0.306128,0.0892282,-0.301686,0.315948,0.147905,-0.260147,0.287709,0.12571,-0.286436,0.306065,0.110299,-0.30525,0.316775,0.167295,-0.268221,0.281702,0.151237,-0.287243,0.299703,0.140368,-0.302431,0.307689,0.134522,-0.250825,0.266425,0.999677,0.142611,-0.206674,0.181918,0.0861124,-0.303377,0.226223,0.0983412,-0.303831,0.254567,0.123368,-0.297677,0.26373,0.157645,-0.300558,0.262077,0.233328,-0.294677,0.125878,0.176238,-0.244378,0.152805,0.155506,-0.22279,0.168493,0.144088,-0.289884,0.168734,0.115351,-0.302594,0.189973,0.0990806,-0.303897,0.20798,0.155307,-0.305408,0.180239,0.126055,-0.312651,0.21081,0.111455,-0.307821,0.233668,0.172262,-0.311269,0.190761,0.149005,-0.311702,0.22206,0.135649,-0.305541,0.244191,0.192121,-0.313073,0.199685,0.176243,-0.312008,0.225962,0.168277,-0.306762,0.243895,0.16881,-0.286901,0.179976
1764008941,0.99959,0.0754271,-0.257992,0.261625,0.0708476,-0.308133,0.310057,0.0791119,-0.32224,0.327731,0.0986244,-0.324687,0.326495,0.130472,-0.319941,0.316759,0.195244,-0.196418,0.244544,0.118629,-0.22318,0.243568,0.0940362,-0.243151,0.255328,0.114761,-0.24355,0.278078,0.0942665,-0.270902,0.294519,0.0814143,-0.290192,0.301828,0.132034,-0.253518,0.288154,0.107784,-0.284364,0.305567,0.0923421,-0.304864,0.315579,0.150584,-0.262856,0.287038,0.128615,-0.289366,0.305348,0.113372,-0.308312,0.316066,0.170042,-0.270724,0.280978,0.154231,-0.289924,0.299009,0.143559,-0.305211,0.30707,0.137072,-0.253617,0.265803,0.999671,0.134567,-0.221152,0.188242,0.094432,-0.315536,0.240305,0.120945,-0.288973,0.268324,0.1463,-0.27796,0.26999,0.169404,-0.290493,0.267116,0.23404,-0.299215,0.130744,0.172693,-0.25402,0.158853,0.149303,-0.235362,0.174563,0.147583,-0.29954,0.179205,0.121168,-0.314144,0.202172,0.106252,-0.315759,0.221292,0.160643,-0.313807,0.19039,0.135816,-0.315267,0.225379,0.127383,-0.30219,0.248113,0.178623,-0.318055,0.199941,0.160007,-0.310376,0.233335,0.152454,-0.294912,0.253583,0.199086,-0.318099,0.207592,0.184809,-0.311675,0.234023,0.178365,-0.301778,0.250548,0.172784,-0.294497,0.188469
1764208908,0.999627,0.0702756,-0.250216,0.267804,0.0635904,-0.299164,0.31648,0.0711664,-0.313091,0.334509,0.0907853,-0.31603,0.333877,0.12262,-0.312962,0.323334,0.192039,-0.192862,0.249752,0.114527,-0.217026,0.249239,0.089315,-0.236032,0.261285,0.109968,-0.236526,0.284123,0.0884258,-0.262959,0.300727,0.074841,-0.281706,0.308121,0.126891,-0.247006,0.294271,0.101398,-0.276607,0.312064,0.0851244,-0.296351,0.322278,0.145075,-0.257045,0.293217,0.122108,-0.282334,0.312023,0.106145,-0.300457,0.323109,0.164204,-0.265711,0.287198,0.147612,-0.284083,0.305389,0.136319,-0.298852,0.313567,0.131851,-0.247572,0.271912,0.999586,0.126786,-0.22817,0.199243,0.095202,-0.313823,0.247669,0.144933,-0.259975,0.254706,0.17176,-0.250299,0.244344,0.176611,-0.266474,0.254415,0.230423,-0.295512,0.134692,0.167175,-0.254686,0.166648,0.142467,-0.239677,0.184146,0.144046,-0.299475,0.183133,0.119118,-0.314117,0.207683,0.105617,-0.314862,0.227878,0.157502,-0.313662,0.193944,0.137212,-0.305669,0.230919,0.139271,-0.28271,0.246007,0.1756,-0.317659,0.20338,0.162903,-0.298967,0.235163,0.166056,-0.273994,0.243679,0.196062,-0.317338,0.211026,0.183561,-0.303412,0.235388,0.180727,-0.286348,0.246035,0.169261,-0.294245,0.192069
1764408871,0.999633,0.0728952,-0.255345,0.266949,0.0666648,-0.304055,0.315704,0.0747567,-0.318013,0.333796,0.0944015,-0.320424,0.333417,0.126449,-0.316673,0.323279,0.193504,-0.195396,0.249465,0.116512,-0.221202,0.248619,0.0917189,-0.240821,0.260551,0.112183,-0.240698,0.283495,0.0909914,-0.2675,0.299957,0.0776728,-0.28643,0.307371,0.129273,-0.250868,0.293679,0.104303,-0.281039,0.311255,0.0883929,-0.301072,0.321479,0.147651,-0.260552,0.292666,0.125106,-0.286255,0.311421,0.109472,-0.304625,0.32257,0.166962,-0.268837,0.286692,0.150793,-0.287426,0.305044,0.139823,-0.302364,0.313355,0.134316,-0.251297,0.271336,0.999731,0.124477,-0.23183,0.208544,0.0947388,-0.310846,0.253661,0.136929,-0.261504,0.265365,0.16642,-0.248273,0.252384,0.173714,-0.263936,0.259,0.227282,-0.293618,0.137913,0.163781,-0.254365,0.171911,0.139554,-0.241547,0.191677,0.141389,-0.298081,0.187165,0.117364,-0.312072,0.212964,0.104481,-0.312463,0.233568,0.155108,-0.311992,0.198004,0.135174,-0.304232,0.235221,0.134646,-0.282891,0.252636,0.173334,-0.315674,0.20732,0.160866,-0.296623,0.238979,0.162553,-0.272124,0.249131,0.193858,-0.315031,0.214778,0.181679,-0.299985,0.238633,0.178513,-0.283207,0.249634,0.166617,-0.292448,0.195795
