tracking_timestamp_us,utc_timestamp_ns,session_uid,tx_odometry_device,ty_odometry_device,tz_odometry_device,qx_odometry_device,qy_odometry_device,qz_odometry_device,qw_odometry_device,device_linear_velocity_x_odometry,device_linear_velocity_y_odometry,device_linear_velocity_z_odometry,angular_velocity_x_device,angular_velocity_y_device,angular_velocity_z_device,gravity_x_odometry,gravity_y_odometry,gravity_z_odometry,quality_score
149202610,1686767222002923694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.053693,-0.076331,-0.014770,0.486152,0.511093,-0.462168,0.537439,-0.294710,-0.273457,-0.053871,-0.054750,0.052271,-0.064212,0.000000,0.000000,-9.810000,0.5
149203459,1686767222003772694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.053944,-0.076564,-0.014816,0.486137,0.511130,-0.462161,0.537424,-0.295692,-0.274439,-0.054789,-0.050773,0.054919,-0.068246,0.000000,0.000000,-9.810000,0.5
149204459,1686767222004772694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.054240,-0.076839,-0.014872,0.486118,0.511174,-0.462153,0.537406,-0.296465,-0.275018,-0.055615,-0.051423,0.058135,-0.070595,0.000000,0.000000,-9.810000,0.5
149205503,1686767222005816694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.054550,-0.077126,-0.014930,0.486098,0.511221,-0.462144,0.537387,-0.296942,-0.275166,-0.056156,-0.056184,0.057637,-0.073461,0.000000,0.000000,-9.810000,0.5
149206457,1686767222006770694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.054834,-0.077389,-0.014984,0.486078,0.511266,-0.462135,0.537370,-0.297433,-0.275299,-0.056221,-0.060428,0.057092,-0.071938,0.000000,0.000000,-9.810000,0.5
149207457,1686767222007770694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.055132,-0.077664,-0.015040,0.486057,0.511313,-0.462124,0.537354,-0.298090,-0.275639,-0.056423,-0.063087,0.059331,-0.069278,0.000000,0.000000,-9.810000,0.5
149208456,1686767222008769694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.055430,-0.077940,-0.015096,0.486036,0.511360,-0.462112,0.537339,-0.298983,-0.276284,-0.056397,-0.062856,0.058140,-0.067375,0.000000,0.000000,-9.810000,0.5
149209455,1686767222009768694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.055729,-0.078217,-0.015153,0.486016,0.511406,-0.462099,0.537323,-0.299906,-0.277051,-0.056830,-0.062024,0.061935,-0.065952,0.000000,0.000000,-9.810000,0.5
149210500,1686767222010813694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.056043,-0.078507,-0.015212,0.485996,0.511455,-0.462086,0.537306,-0.301125,-0.278119,-0.056858,-0.058122,0.058832,-0.066180,0.000000,0.000000,-9.810000,0.5
149211453,1686767222011766694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.056331,-0.078773,-0.015267,0.485978,0.511498,-0.462075,0.537291,-0.301886,-0.278610,-0.057277,-0.058921,0.060129,-0.067042,0.000000,0.000000,-9.810000,0.5
