tracking_timestamp_us,utc_timestamp_ns,session_uid,tx_odometry_device,ty_odometry_device,tz_odometry_device,qx_odometry_device,qy_odometry_device,qz_odometry_device,qw_odometry_device,device_linear_velocity_x_odometry,device_linear_velocity_y_odometry,device_linear_velocity_z_odometry,angular_velocity_x_device,angular_velocity_y_device,angular_velocity_z_device,gravity_x_odometry,gravity_y_odometry,gravity_z_odometry,quality_score
149212453,1686767222012766694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.056633,-0.079051,-0.015324,0.485958,0.511545,-0.462063,0.537275,-0.302398,-0.278721,-0.057656,-0.063343,0.060566,-0.068453,0.000000,0.000000,-9.810000,0.5
149213452,1686767222013765694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.056936,-0.079330,-0.015382,0.485937,0.511594,-0.462050,0.537259,-0.302771,-0.278714,-0.058326,-0.069202,0.065270,-0.069206,0.000000,0.000000,-9.810000,0.5
149214451,1686767222014764694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.057239,-0.079609,-0.015441,0.485916,0.511645,-0.462034,0.537243,-0.303362,-0.278970,-0.058691,-0.072645,0.068714,-0.067932,0.000000,0.000000,-9.810000,0.5
149215496,1686767222015809694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.057556,-0.079901,-0.015502,0.485894,0.511699,-0.462015,0.537227,-0.304133,-0.279392,-0.058545,-0.074781,0.068429,-0.064712,0.000000,0.000000,-9.810000,0.5
149216450,1686767222016763694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.057847,-0.080167,-0.015558,0.485874,0.511749,-0.461998,0.537213,-0.304910,-0.279966,-0.059188,-0.075203,0.070528,-0.067348,0.000000,0.000000,-9.810000,0.5
149217449,1686767222017762694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.058152,-0.080448,-0.015618,0.485853,0.511802,-0.461979,0.537198,-0.305702,-0.280518,-0.059722,-0.075934,0.071511,-0.069775,0.000000,0.000000,-9.810000,0.5
149218448,1686767222018761694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.058458,-0.080728,-0.015678,0.485831,0.511856,-0.461961,0.537182,-0.306410,-0.280944,-0.060133,-0.077627,0.071877,-0.071577,0.000000,0.000000,-9.810000,0.5
149219448,1686767222019761694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.058765,-0.081010,-0.015738,0.485808,0.511910,-0.461943,0.537166,-0.307171,-0.281341,-0.060044,-0.079448,0.070140,-0.070219,0.000000,0.000000,-9.810000,0.5
149220492,1686767222020805694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.059086,-0.081304,-0.015801,0.485783,0.511967,-0.461924,0.537150,-0.308105,-0.282020,-0.060420,-0.079220,0.069089,-0.072706,0.000000,0.000000,-9.810000,0.5
149221446,1686767222021759694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.059381,-0.081573,-0.015859,0.485761,0.512021,-0.461907,0.537135,-0.308768,-0.282493,-0.061687,-0.080888,0.077265,-0.076700,0.000000,0.000000,-9.810000,0.5
149222445,1686767222022758694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.059690,-0.081856,-0.015921,0.485737,0.512080,-0.461887,0.537117,-0.309385,-0.282724,-0.062024,-0.084687,0.079886,-0.076365,0.000000,0.000000,-9.810000,0.5
149223445,1686767222023758694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.060000,-0.082139,-0.015983,0.485713,0.512139,-0.461866,0.537100,-0.309977,-0.282883,-0.061979,-0.089060,0.079961,-0.074428,0.000000,0.000000,-9.810000,0.5
149224444,1686767222024757694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.060310,-0.082422,-0.016044,0.485689,0.512197,-0.461844,0.537086,-0.311194,-0.283773,-0.060693,-0.086306,0.071636,-0.067080,0.000000,0.000000,-9.810000,0.5
149225489,1686767222025802694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.060636,-0.082719,-0.016107,0.485664,0.512255,-0.461820,0.537073,-0.312132,-0.284329,-0.060333,-0.086867,0.071578,-0.061642,0.000000,0.000000,-9.810000,0.5
149226443,1686767222026756694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.060934,-0.082990,-0.016165,0.485643,0.512306,-0.461798,0.537062,-0.313138,-0.285046,-0.060052,-0.085436,0.069803,-0.058461,0.000000,0.000000,-9.810000,0.5
149227442,1686767222027755694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.061247,-0.083275,-0.016225,0.485620,0.512359,-0.461776,0.537051,-0.313720,-0.285312,-0.060959,-0.088766,0.070384,-0.065283,0.000000,0.000000,-9.810000,0.5
149228441,1686767222028754694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.061561,-0.083561,-0.016287,0.485595,0.512416,-0.461754,0.537039,-0.314400,-0.285673,-0.061748,-0.091248,0.069451,-0.072304,0.000000,0.000000,-9.810000,0.5
149229440,1686767222029753694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.061876,-0.083846,-0.016349,0.485567,0.512474,-0.461732,0.537027,-0.315007,-0.285877,-0.062408,-0.095414,0.073863,-0.073465,0.000000,0.000000,-9.810000,0.5
149230497,1686767222030810694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.062209,-0.084149,-0.016415,0.485538,0.512538,-0.461707,0.537014,-0.315668,-0.286058,-0.062505,-0.099996,0.074955,-0.071755,0.000000,0.000000,-9.810000,0.5
149231439,1686767222031752694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.062507,-0.084418,-0.016473,0.485511,0.512595,-0.461685,0.537004,-0.316307,-0.286260,-0.062469,-0.103411,0.070510,-0.073711,0.000000,0.000000,-9.810000,0.5
149232438,1686767222032751694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.062823,-0.084705,-0.016536,0.485479,0.512656,-0.461661,0.536994,-0.317047,-0.286577,-0.062601,-0.105838,0.066561,-0.076820,0.000000,0.000000,-9.810000,0.5
149233437,1686767222033750694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.063141,-0.084991,-0.016599,0.485447,0.512716,-0.461639,0.536985,-0.318193,-0.287498,-0.062717,-0.102905,0.065468,-0.076989,0.000000,0.000000,-9.810000,0.5
149234436,1686767222034749694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.063460,-0.085279,-0.016661,0.485416,0.512775,-0.461617,0.536975,-0.319362,-0.288449,-0.062602,-0.100140,0.067704,-0.071875,0.000000,0.000000,-9.810000,0.5
149235481,1686767222035794694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.063794,-0.085581,-0.016727,0.485385,0.512838,-0.461593,0.536965,-0.320121,-0.288872,-0.063157,-0.102423,0.070928,-0.072663,0.000000,0.000000,-9.810000,0.5
149236435,1686767222036748694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.064100,-0.085857,-0.016788,0.485356,0.512896,-0.461569,0.536956,-0.320593,-0.288942,-0.063710,-0.107419,0.074118,-0.073595,0.000000,0.000000,-9.810000,0.5
149237434,1686767222037747694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.064421,-0.086146,-0.016852,0.485324,0.512960,-0.461543,0.536946,-0.321159,-0.289121,-0.064342,-0.111437,0.072682,-0.078943,0.000000,0.000000,-9.810000,0.5
149238433,1686767222038746694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.064742,-0.086435,-0.016916,0.485291,0.513024,-0.461519,0.536936,-0.322207,-0.289877,-0.064346,-0.110144,0.071593,-0.077569,0.000000,0.000000,-9.810000,0.5
149239433,1686767222039746694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.065065,-0.086725,-0.016980,0.485257,0.513087,-0.461494,0.536927,-0.322898,-0.290072,-0.064251,-0.113755,0.068082,-0.077557,0.000000,0.000000,-9.810000,0.5
149240478,1686767222040791694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.065403,-0.087029,-0.017047,0.485221,0.513153,-0.461467,0.536920,-0.323787,-0.290494,-0.064136,-0.115891,0.067783,-0.074339,0.000000,0.000000,-9.810000,0.5
149241431,1686767222041744694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.065712,-0.087306,-0.017108,0.485187,0.513213,-0.461443,0.536914,-0.324602,-0.290930,-0.064119,-0.117143,0.063371,-0.075643,0.000000,0.000000,-9.810000,0.5
149242431,1686767222042744694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.066037,-0.087597,-0.017173,0.485151,0.513275,-0.461418,0.536909,-0.325623,-0.291642,-0.064209,-0.116313,0.061951,-0.075305,0.000000,0.000000,-9.810000,0.5
149243430,1686767222043743694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.066363,-0.087889,-0.017237,0.485114,0.513336,-0.461393,0.536904,-0.326618,-0.292310,-0.064240,-0.115895,0.059922,-0.074856,0.000000,0.000000,-9.810000,0.5
149244429,1686767222044742694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.066690,-0.088181,-0.017302,0.485077,0.513399,-0.461369,0.536899,-0.327238,-0.292631,-0.065560,-0.119097,0.065096,-0.081013,0.000000,0.000000,-9.810000,0.5
149245474,1686767222045787694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.067032,-0.088488,-0.017371,0.485038,0.513469,-0.461343,0.536890,-0.328102,-0.293307,-0.067215,-0.119449,0.072239,-0.088537,0.000000,0.000000,-9.810000,0.5
149246427,1686767222046740694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.067345,-0.088768,-0.017436,0.485000,0.513535,-0.461320,0.536880,-0.328670,-0.293507,-0.068091,-0.123119,0.074390,-0.093002,0.000000,0.000000,-9.810000,0.5
149247427,1686767222047740694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.067675,-0.089061,-0.017503,0.484960,0.513605,-0.461296,0.536871,-0.329588,-0.294015,-0.067609,-0.123852,0.067376,-0.091568,0.000000,0.000000,-9.810000,0.5
149248426,1686767222048739694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.068005,-0.089355,-0.017571,0.484918,0.513672,-0.461272,0.536864,-0.330439,-0.294359,-0.066637,-0.126135,0.059870,-0.085747,0.000000,0.000000,-9.810000,0.5
149249427,1686767222049740694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.068336,-0.089651,-0.017637,0.484876,0.513738,-0.461249,0.536860,-0.331575,-0.295226,-0.066641,-0.123800,0.056419,-0.085978,0.000000,0.000000,-9.810000,0.5
149250470,1686767222050783694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.068683,-0.089959,-0.017707,0.484832,0.513805,-0.461225,0.536856,-0.332446,-0.295677,-0.066837,-0.125795,0.058146,-0.083726,0.000000,0.000000,-9.810000,0.5
149251424,1686767222051737694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.069000,-0.090242,-0.017771,0.484792,0.513867,-0.461202,0.536852,-0.333474,-0.296441,-0.067193,-0.124344,0.058981,-0.083822,0.000000,0.000000,-9.810000,0.5
149252423,1686767222052736694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.069334,-0.090538,-0.017838,0.484751,0.513933,-0.461177,0.536847,-0.334070,-0.296587,-0.067798,-0.129124,0.063720,-0.082892,0.000000,0.000000,-9.810000,0.5
149253422,1686767222053735694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.069668,-0.090835,-0.017907,0.484709,0.514001,-0.461150,0.536843,-0.334811,-0.296938,-0.068446,-0.131917,0.064167,-0.085848,0.000000,0.000000,-9.810000,0.5
149254421,1686767222054734694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.070004,-0.091132,-0.017975,0.484666,0.514070,-0.461124,0.536839,-0.335587,-0.297297,-0.068907,-0.134679,0.064422,-0.087139,0.000000,0.000000,-9.810000,0.5
149255466,1686767222055779694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.070355,-0.091443,-0.018047,0.484620,0.514142,-0.461097,0.536835,-0.336845,-0.298282,-0.069147,-0.131723,0.060662,-0.089461,0.000000,0.000000,-9.810000,0.5
149256420,1686767222056733694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.070677,-0.091728,-0.018113,0.484578,0.514207,-0.461073,0.536831,-0.337791,-0.298854,-0.069007,-0.132207,0.060290,-0.085604,0.000000,0.000000,-9.810000,0.5
149257419,1686767222057732694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.071016,-0.092028,-0.018182,0.484534,0.514274,-0.461048,0.536828,-0.338818,-0.299596,-0.069105,-0.131402,0.058986,-0.084734,0.000000,0.000000,-9.810000,0.5
149258419,1686767222058732694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.071355,-0.092327,-0.018251,0.484491,0.514340,-0.461022,0.536826,-0.339603,-0.299972,-0.069050,-0.133894,0.057860,-0.082447,0.000000,0.000000,-9.810000,0.5
149259418,1686767222059731694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.071695,-0.092628,-0.018321,0.484447,0.514407,-0.460996,0.536824,-0.340716,-0.300868,-0.069675,-0.131535,0.059596,-0.084320,0.000000,0.000000,-9.810000,0.5
149260462,1686767222060775694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.072051,-0.092942,-0.018394,0.484402,0.514477,-0.460968,0.536820,-0.341547,-0.301298,-0.070514,-0.133741,0.065062,-0.085047,0.000000,0.000000,-9.810000,0.5
149261416,1686767222061729694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.072378,-0.093230,-0.018462,0.484361,0.514544,-0.460942,0.536816,-0.342280,-0.301686,-0.071371,-0.135776,0.067137,-0.088855,0.000000,0.000000,-9.810000,0.5
149262416,1686767222062729694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.072720,-0.093532,-0.018533,0.484316,0.514615,-0.460915,0.536811,-0.343124,-0.302133,-0.071699,-0.137420,0.064648,-0.091143,0.000000,0.000000,-9.810000,0.5
149263415,1686767222063728694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.073064,-0.093834,-0.018605,0.484269,0.514687,-0.460890,0.536807,-0.343945,-0.302629,-0.072467,-0.138546,0.062406,-0.097811,0.000000,0.000000,-9.810000,0.5
149264414,1686767222064727694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.073408,-0.094137,-0.018678,0.484221,0.514759,-0.460866,0.536800,-0.345114,-0.303668,-0.073343,-0.134887,0.063202,-0.102703,0.000000,0.000000,-9.810000,0.5
149265450,1686767222065763694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.073766,-0.094452,-0.018754,0.484171,0.514835,-0.460843,0.536793,-0.345908,-0.304065,-0.073700,-0.137299,0.061830,-0.104182,0.000000,0.000000,-9.810000,0.5
149266413,1686767222066726694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.074100,-0.094745,-0.018825,0.484123,0.514905,-0.460821,0.536788,-0.346671,-0.304360,-0.073326,-0.140212,0.057449,-0.101233,0.000000,0.000000,-9.810000,0.5
149267412,1686767222067725694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.074447,-0.095050,-0.018898,0.484072,0.514977,-0.460797,0.536785,-0.347364,-0.304537,-0.072710,-0.144553,0.054612,-0.094867,0.000000,0.000000,-9.810000,0.5
149268411,1686767222068724694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.074794,-0.095354,-0.018971,0.484023,0.515048,-0.460771,0.536784,-0.348370,-0.305310,-0.073002,-0.143832,0.058835,-0.091354,0.000000,0.000000,-9.810000,0.5
149269411,1686767222069724694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.075143,-0.095660,-0.019044,0.483975,0.515119,-0.460744,0.536783,-0.349437,-0.306148,-0.073292,-0.142426,0.059892,-0.090406,0.000000,0.000000,-9.810000,0.5
149270455,1686767222070768694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.075509,-0.095980,-0.019121,0.483924,0.515193,-0.460716,0.536781,-0.350114,-0.306373,-0.073728,-0.146869,0.060437,-0.091293,0.000000,0.000000,-9.810000,0.5
149271409,1686767222071722694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.075843,-0.096273,-0.019191,0.483876,0.515263,-0.460689,0.536781,-0.350668,-0.306448,-0.073942,-0.151921,0.058631,-0.092263,0.000000,0.000000,-9.810000,0.5
149272408,1686767222072721694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.076194,-0.096579,-0.019266,0.483825,0.515337,-0.460660,0.536781,-0.351332,-0.306748,-0.074732,-0.155443,0.062535,-0.093816,0.000000,0.000000,-9.810000,0.5
149273407,1686767222073720694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.076546,-0.096886,-0.019341,0.483773,0.515413,-0.460630,0.536781,-0.352115,-0.307238,-0.075498,-0.157117,0.062872,-0.098330,0.000000,0.000000,-9.810000,0.5
149274407,1686767222074720694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.076898,-0.097194,-0.019417,0.483720,0.515490,-0.460601,0.536779,-0.353084,-0.307948,-0.076010,-0.156758,0.063778,-0.099600,0.000000,0.000000,-9.810000,0.5
149275451,1686767222075764694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.077268,-0.097516,-0.019496,0.483664,0.515570,-0.460571,0.536778,-0.354219,-0.308757,-0.075909,-0.155404,0.059836,-0.098700,0.000000,0.000000,-9.810000,0.5
149276405,1686767222076718694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.077607,-0.097811,-0.019568,0.483615,0.515641,-0.460544,0.536778,-0.355634,-0.310039,-0.075748,-0.149471,0.059861,-0.094044,0.000000,0.000000,-9.810000,0.5
149277404,1686767222077717694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.077963,-0.098122,-0.019644,0.483564,0.515714,-0.460517,0.536776,-0.356836,-0.311114,-0.076341,-0.145821,0.060695,-0.096200,0.000000,0.000000,-9.810000,0.5
149278404,1686767222078717694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.078320,-0.098433,-0.019721,0.483513,0.515788,-0.460491,0.536773,-0.357585,-0.311540,-0.076981,-0.147793,0.059905,-0.100494,0.000000,0.000000,-9.810000,0.5
149279403,1686767222079716694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.078678,-0.098745,-0.019798,0.483460,0.515862,-0.460466,0.536771,-0.358328,-0.311841,-0.077051,-0.150554,0.054950,-0.102866,0.000000,0.000000,-9.810000,0.5
149280448,1686767222080761694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.079053,-0.099071,-0.019878,0.483403,0.515939,-0.460440,0.536771,-0.359111,-0.312085,-0.076614,-0.154273,0.051788,-0.098587,0.000000,0.000000,-9.810000,0.5
149281401,1686767222081714694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.079396,-0.099369,-0.019952,0.483352,0.516009,-0.460415,0.536772,-0.360077,-0.312790,-0.076859,-0.153680,0.054059,-0.096307,0.000000,0.000000,-9.810000,0.5
149282401,1686767222082714694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.079757,-0.099682,-0.020029,0.483297,0.516084,-0.460388,0.536772,-0.360916,-0.313443,-0.078019,-0.153997,0.055806,-0.103219,0.000000,0.000000,-9.810000,0.5
149283400,1686767222083713694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.080118,-0.099996,-0.020107,0.483242,0.516159,-0.460363,0.536771,-0.361860,-0.314210,-0.078688,-0.153533,0.056283,-0.106575,0.000000,0.000000,-9.810000,0.5
149284399,1686767222084712694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.080480,-0.100310,-0.020186,0.483185,0.516235,-0.460339,0.536769,-0.362528,-0.314499,-0.078659,-0.157145,0.052775,-0.106572,0.000000,0.000000,-9.810000,0.5
149285444,1686767222085757694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.080859,-0.100639,-0.020269,0.483125,0.516316,-0.460312,0.536770,-0.363207,-0.314843,-0.079066,-0.160714,0.054251,-0.106525,0.000000,0.000000,-9.810000,0.5
149286398,1686767222086711694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.081206,-0.100940,-0.020344,0.483069,0.516389,-0.460287,0.536770,-0.364084,-0.315503,-0.079328,-0.160720,0.054254,-0.106525,0.000000,0.000000,-9.810000,0.5
149287397,1686767222087710694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.081571,-0.101255,-0.020424,0.483011,0.516466,-0.460262,0.536770,-0.365215,-0.316492,-0.079687,-0.157966,0.054074,-0.107433,0.000000,0.000000,-9.810000,0.5
149288396,1686767222088709694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.081936,-0.101572,-0.020503,0.482954,0.516542,-0.460237,0.536770,-0.366432,-0.317487,-0.079032,-0.155225,0.051138,-0.100686,0.000000,0.000000,-9.810000,0.5
149289396,1686767222089709694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.082303,-0.101890,-0.020582,0.482898,0.516615,-0.460211,0.536772,-0.367275,-0.318054,-0.079024,-0.156232,0.048166,-0.100643,0.000000,0.000000,-9.810000,0.5
149290440,1686767222090753694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.082687,-0.102223,-0.020665,0.482838,0.516693,-0.460186,0.536773,-0.368036,-0.318567,-0.079945,-0.158059,0.049286,-0.106419,0.000000,0.000000,-9.810000,0.5
149291394,1686767222091707694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.083039,-0.102527,-0.020742,0.482781,0.516766,-0.460163,0.536773,-0.368859,-0.319249,-0.081130,-0.157940,0.051538,-0.113975,0.000000,0.000000,-9.810000,0.5
149292393,1686767222092706694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.083408,-0.102847,-0.020823,0.482721,0.516844,-0.460141,0.536771,-0.369616,-0.319797,-0.082059,-0.159659,0.054729,-0.118019,0.000000,0.000000,-9.810000,0.5
149293393,1686767222093706694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.083778,-0.103167,-0.020905,0.482660,0.516924,-0.460117,0.536769,-0.370402,-0.320248,-0.081823,-0.162103,0.053321,-0.114588,0.000000,0.000000,-9.810000,0.5
149294392,1686767222094705694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.084149,-0.103487,-0.020987,0.482598,0.517004,-0.460093,0.536768,-0.370922,-0.320416,-0.082165,-0.167073,0.053753,-0.115474,0.000000,0.000000,-9.810000,0.5
149295436,1686767222095749694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.084537,-0.103822,-0.021074,0.482533,0.517089,-0.460066,0.536768,-0.371696,-0.320999,-0.082961,-0.168750,0.056650,-0.118351,0.000000,0.000000,-9.810000,0.5
149296390,1686767222096703694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.084892,-0.104129,-0.021153,0.482473,0.517168,-0.460042,0.536767,-0.372548,-0.321703,-0.083247,-0.168857,0.057162,-0.118469,0.000000,0.000000,-9.810000,0.5
149297390,1686767222097703694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.085265,-0.104451,-0.021236,0.482410,0.517250,-0.460016,0.536766,-0.373422,-0.322339,-0.082767,-0.169817,0.051266,-0.116730,0.000000,0.000000,-9.810000,0.5
149298389,1686767222098702694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.085639,-0.104773,-0.021318,0.482345,0.517330,-0.459992,0.536769,-0.374402,-0.323088,-0.081951,-0.169919,0.043763,-0.112973,0.000000,0.000000,-9.810000,0.5
149299388,1686767222099701694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.086001,-0.105119,-0.021391,0.482293,0.517366,-0.460002,0.536772,-0.375507,-0.324212,-0.082473,-0.167068,0.045696,-0.114312,0.000000,0.000000,-9.810000,0.5
149300433,1686767222100746694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.086394,-0.105459,-0.021477,0.482226,0.517448,-0.459978,0.536774,-0.376431,-0.325036,-0.083138,-0.167091,0.048523,-0.116545,0.000000,0.000000,-9.810000,0.5
149301387,1686767222101700694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.086754,-0.105769,-0.021557,0.482164,0.517525,-0.459955,0.536774,-0.377122,-0.325592,-0.083987,-0.168810,0.051715,-0.120577,0.000000,0.000000,-9.810000,0.5
149302386,1686767222102699694,3edc41cb-c537-e828-8bf9-403e7c3afdfd,-0.087131,-0.106095,-0.021641,0.482099,0.517607,-0.459930,0.536775,-0.377543,-0.325643,-0.083988,-0.175493,0.052479,-0.118368,0.000000,0.000000,-9.810000,0.5
