tracking_timestamp_us,yaw_rads_cpf,pitch_rads_cpf,yaw_low_rads_cpf,pitch_low_rads_cpf,yaw_high_rads_cpf,pitch_high_rads_cpf,depth_m,session_uid
148502622,0.894797,0.039713,0.80886,-0.017957,0.939902,0.091998,,8d34a429-0122-49a7-9eec-751da9d37d9f
148602622,0.89174,0.051264,0.789492,-0.011367,0.938861,0.109999,,8d34a429-0122-49a7-9eec-751da9d37d9f
148702622,0.889524,0.042563,0.7870119999999999,-0.021511,0.938538,0.10334000000000003,,8d34a429-0122-49a7-9eec-751da9d37d9f
148802622,0.689756,0.017374,0.36339,-0.120765,0.819958,0.145952,,8d34a429-0122-49a7-9eec-751da9d37d9f
148902622,0.212413,-0.140532,0.125891,-0.222033,0.27924699999999997,-0.052017999999999995,,8d34a429-0122-49a7-9eec-751da9d37d9f
149002622,0.194546,-0.233203,0.161166,-0.26112199999999997,0.216033,-0.19592,,8d34a429-0122-49a7-9eec-751da9d37d9f
149102622,0.591465,-0.122405,0.572531,-0.138301,0.608557,-0.103477,,8d34a429-0122-49a7-9eec-751da9d37d9f
149202622,0.641295,-0.141548,0.623242,-0.156299,0.658565,-0.122475,,8d34a429-0122-49a7-9eec-751da9d37d9f
149302622,0.5449390000000001,-0.145925,0.5260779999999999,-0.162209,0.5630310000000001,-0.127068,,8d34a429-0122-49a7-9eec-751da9d37d9f
149402622,0.2354,-0.241108,0.198217,-0.288198,0.27550399999999997,-0.193862,,8d34a429-0122-49a7-9eec-751da9d37d9f
149502622,0.203717,-0.269974,0.175497,-0.295636,0.223737,-0.243907,,8d34a429-0122-49a7-9eec-751da9d37d9f
149602622,0.084014,-0.235561,0.062671,-0.26256599999999997,0.106449,-0.180428,,8d34a429-0122-49a7-9eec-751da9d37d9f
149702622,0.056876,-0.252438,0.031973,-0.279613,0.07550499999999999,-0.186347,,8d34a429-0122-49a7-9eec-751da9d37d9f
149802622,0.056593,-0.242551,0.032139999999999995,-0.268421,0.073764,-0.180526,,8d34a429-0122-49a7-9eec-751da9d37d9f
149902622,0.055627,-0.2372,0.034142,-0.260332,0.07181699999999999,-0.18376,,8d34a429-0122-49a7-9eec-751da9d37d9f
150002622,0.06216799999999999,-0.227459,0.041344,-0.25071,0.078929,-0.17600000000000002,,8d34a429-0122-49a7-9eec-751da9d37d9f
150102622,0.060562,-0.239121,0.037029,-0.26424899999999996,0.077856,-0.181609,,8d34a429-0122-49a7-9eec-751da9d37d9f
150202622,0.061774,-0.250004,0.038621,-0.275475,0.079609,-0.194033,,8d34a429-0122-49a7-9eec-751da9d37d9f
150302622,0.360338,-0.329716,0.344535,-0.348456,0.37715,-0.309525,,8d34a429-0122-49a7-9eec-751da9d37d9f
150402622,0.360318,-0.339773,0.345953,-0.35624,0.375469,-0.321767,,8d34a429-0122-49a7-9eec-751da9d37d9f
150502622,0.35493,-0.327995,0.340851,-0.343826,0.369309,-0.310435,,8d34a429-0122-49a7-9eec-751da9d37d9f
150602622,0.349636,-0.34736500000000003,0.334407,-0.364463,0.36506,-0.328823,,8d34a429-0122-49a7-9eec-751da9d37d9f
